-1.800000000000000000e+01,1.470957025825472353e-03,9.920960489988184944e-03,2.502871644704734739e-03
-1.700000000000000000e+01,1.127546441531801676e-03,6.850517898943124344e-03,1.635326530612244778e-03
-1.600000000000000000e+01,6.528285639113604695e-04,5.623899639437798630e-03,1.597254224090944143e-03
-1.500000000000000000e+01,5.195683896010369618e-04,4.181552050083153609e-03,1.169351067872615411e-03
-1.400000000000000000e+01,4.130638344226579485e-04,2.955625271088476672e-03,1.135100486941124139e-03
-1.300000000000000000e+01,2.976887651111693534e-04,2.118653038708797742e-03,7.291368450984572714e-04
-1.200000000000000000e+01,1.891957149762255161e-04,1.765649128449668214e-03,6.988327314846358093e-04
-1.100000000000000000e+01,1.249183466968820447e-04,1.635396224307281848e-03,3.998220374220373468e-04
-1.000000000000000000e+01,8.221489505598959357e-05,1.562393709959231190e-03,2.711254989382417863e-04
-9.000000000000000000e+00,5.909877854827113566e-05,1.547076124567473834e-03,1.566740021487089836e-04
-8.000000000000000000e+00,4.559501039588953898e-05,1.539529411764705867e-03,1.216987185571902973e-04
-7.000000000000000000e+00,3.926260526960215013e-05,1.539529411764705867e-03,8.517353971865605810e-05
-6.000000000000000000e+00,3.510824870507443508e-05,1.539529411764705867e-03,7.504201774944456427e-05
-5.000000000000000000e+00,3.074954737197692725e-05,1.539529411764705867e-03,5.909694915254236065e-05
